date,name,value
2021-01-01,AED,3.673204
2021-01-01,AFN,77.571739
2021-01-01,ALL,101.322199
2021-01-01,AMD,522.590403
2021-01-01,ANG,1.803922
2021-01-01,AOA,654.160403
2021-01-01,ARS,85.115451
2021-01-01,AUD,1.29985
2021-01-01,AWG,1.8
2021-01-01,AZN,1.70397
2021-01-01,BAM,1.601236
2021-01-01,BBD,2.029064
2021-01-01,BDT,85.068975
2021-01-01,BGN,1.602404
2021-01-01,BHD,0.377011
2021-01-01,BIF,1949.903803
2021-01-01,BMD,1.0
2021-01-01,BND,1.328012
2021-01-01,BOB,6.919072
2021-01-01,BRL,5.193404
2021-01-01,BSD,1.004953
2021-01-01,BTC,3.4075045e-05
2021-01-01,BTN,73.428794
2021-01-01,BWP,10.858488
2021-01-01,BYN,2.625732
2021-01-01,BYR,19600.0
2021-01-01,BZD,2.025707
2021-01-01,CAD,1.27395
2021-01-01,CDF,1971.000362
2021-01-01,CHF,0.890075
2021-01-01,CLF,0.025749
2021-01-01,CLP,710.503912
2021-01-01,CNY,6.533041
2021-01-01,COP,3422.0
2021-01-01,CRC,613.418478
2021-01-01,CUC,1.0
2021-01-01,CUP,26.5
2021-01-01,CVE,90.273855
2021-01-01,CZK,21.470204
2021-01-01,DJF,177.720394
2021-01-01,DKK,6.092904
2021-01-01,DOP,58.428098
2021-01-01,DZD,132.069262
2021-01-01,EGP,15.842604
2021-01-01,ERN,15.000358
2021-01-01,ETB,39.551926
2021-01-01,EUR,0.821304
2021-01-01,FJD,2.039204
2021-01-01,FKP,0.733528
2021-01-01,GBP,0.731368
2021-01-01,GEL,3.28504
2021-01-01,GGP,0.733528
2021-01-01,GHS,5.899054
2021-01-01,GIP,0.733528
2021-01-01,GMD,51.71039
2021-01-01,GNF,10044.45536
2021-01-01,GTQ,7.833558
2021-01-01,GYD,210.250113
2021-01-01,HKD,7.75325
2021-01-01,HNL,24.230218
2021-01-01,HRK,6.179404
2021-01-01,HTG,72.994392
2021-01-01,HUF,296.920388
2021-01-01,IDR,14213.692393
2021-01-01,ILS,3.21302
2021-01-01,IMP,0.733528
2021-01-01,INR,73.09225
2021-01-01,IQD,1468.230382
2021-01-01,IRR,42105.000352
2021-01-01,ISK,127.810386
2021-01-01,JEP,0.733528
2021-01-01,JMD,143.707888
2021-01-01,JOD,0.70904
2021-01-01,JPY,103.240385
2021-01-01,KES,109.740385
2021-01-01,KGS,83.503801
2021-01-01,KHR,4057.963895
2021-01-01,KMF,403.00035
2021-01-01,KPW,900.023974
2021-01-01,KRW,1085.730384
2021-01-01,KWD,0.30415
2021-01-01,KYD,0.837447
2021-01-01,KZT,423.529412
2021-01-01,LAK,9341.029105
2021-01-01,LBP,1519.505506
2021-01-01,LKR,186.166851
2021-01-01,LRD,164.275039
2021-01-01,LSL,14.690382
2021-01-01,LTL,2.95274
2021-01-01,LVL,0.60489
2021-01-01,LYD,1.344386
2021-01-01,MAD,8.927095
2021-01-01,MDL,17.269065
2021-01-01,MGA,3840.000347
2021-01-01,MKD,50.444144
2021-01-01,MMK,1334.572353
2021-01-01,MNT,2849.992382
2021-01-01,MOP,8.024643
2021-01-01,MRO,356.999828
2021-01-01,MUR,39.703743
2021-01-01,MVR,15.403741
2021-01-01,MWK,774.654714
2021-01-01,MXN,19.882204
2021-01-01,MYR,4.022504
2021-01-01,MZN,74.903732
2021-01-01,NAD,14.690377
2021-01-01,NGN,381.203727
2021-01-01,NIO,35.02231
2021-01-01,NOK,8.63301
2021-01-01,NPR,117.485775
2021-01-01,NZD,1.520526
2021-01-01,OMR,0.384969
2021-01-01,PAB,1.004953
2021-01-01,PEN,3.637889
2021-01-01,PGK,3.573785
2021-01-01,PHP,48.095039
2021-01-01,PKR,160.992836
2021-01-01,PLN,3.75377
2021-01-01,PYG,6951.00086
2021-01-01,QAR,3.64125
2021-01-01,RON,3.983104
2021-01-01,RSD,96.250373
2021-01-01,RUB,73.945038
2021-01-01,RWF,995.914692
2021-01-01,SAR,3.751084
2021-01-01,SBD,8.002049
2021-01-01,SCR,21.204306
2021-01-01,SDG,55.250372
2021-01-01,SEK,8.26929
2021-01-01,SGD,1.321604
2021-01-01,SHP,0.733528
2021-01-01,SLL,10116.503669
2021-01-01,SOS,583.000338
2021-01-01,SRD,14.154038
2021-01-01,STD,20834.863349
2021-01-01,SVC,8.793647
2021-01-01,SYP,512.825634
2021-01-01,SZL,14.745098
2021-01-01,THB,29.988038
2021-01-01,TJS,11.38352
2021-01-01,TMT,3.5
2021-01-01,TND,2.694504
2021-01-01,TOP,2.27405
2021-01-01,TRY,7.439204
2021-01-01,TTD,6.795284
2021-01-01,TWD,28.069038
2021-01-01,TZS,2318.537038
2021-01-01,UAH,28.475255
2021-01-01,UGX,3674.075893
2021-01-01,USD,1.0
2021-01-01,UYU,42.368496
2021-01-01,UZS,10528.773179
2021-01-01,VEF,9.987504
2021-01-01,VND,23080.0
2021-01-01,VUV,108.757801
2021-01-01,WST,2.543972
2021-01-01,XAF,537.031397
2021-01-01,XAG,0.038018
2021-01-01,XAU,0.000528
2021-01-01,XCD,2.70255
2021-01-01,XDR,0.697777
2021-01-01,XOF,537.031397
2021-01-01,XPF,98.050364
2021-01-01,YER,250.403597
2021-01-01,ZAR,14.662595
2021-01-01,ZMK,9001.203593
2021-01-01,ZMW,21.274796
2021-01-01,ZWL,322.000186
2021-01-02,AED,3.673204
2021-01-02,AFN,77.571739
2021-01-02,ALL,101.322199
2021-01-02,AMD,522.590403
2021-01-02,ANG,1.803922
2021-01-02,AOA,654.160403
2021-01-02,ARS,85.115451
2021-01-02,AUD,1.29985
2021-01-02,AWG,1.8
2021-01-02,AZN,1.70397
2021-01-02,BAM,1.601236
2021-01-02,BBD,2.029064
2021-01-02,BDT,85.068975
2021-01-02,BGN,1.602404
2021-01-02,BHD,0.377011
2021-01-02,BIF,1949.903803
2021-01-02,BMD,1.0
2021-01-02,BND,1.328012
2021-01-02,BOB,6.919072
2021-01-02,BRL,5.193404
2021-01-02,BSD,1.004953
2021-01-02,BTC,3.1027802e-05
2021-01-02,BTN,73.428794
2021-01-02,BWP,10.858488
2021-01-02,BYN,2.625732
2021-01-02,BYR,19600.0
2021-01-02,BZD,2.025707
2021-01-02,CAD,1.27395
2021-01-02,CDF,1971.000362
2021-01-02,CHF,0.890075
2021-01-02,CLF,0.025749
